Kota,"['34°', '34°', '34°', '31°', '31°', '31°', '31°', '31°', '31°', '30°', '30°', '34°', '34°']"
Kudankulam,"['33°', '33°', '33°', '33°', '33°', '33°', '33°', '32°', '32°', '33°', '33°', '33°', '33°']"
Kundapura,"['35°', '35°', '35°', '34°', '34°', '34°', '34°', '34°', '34°', '34°', '34°', '35°', '35°']"
Kurnool,"['37°', '36°', '36°', '35°', '35°', '33°', '33°', '33°', '33°', '33°', '33°', '37°', '36°']"
Lucknow,"['34°', '34°', '34°', '32°', '32°', '28°', '28°', '28°', '28°', '28°', '28°', '34°', '34°']"
Lucknow/Amausi,"['34°', '34°', '34°', '32°', '32°', '29°', '29°', '29°', '29°', '28°', '28°', '34°', '34°']"
Ludhiana,"['31°', '31°', '31°', '30°', '30°', '28°', '28°', '25°', '25°', '26°', '26°', '31°', '31°']"
Machilipatnam,"['31°', '31°', '31°', '31°', '31°', '28°', '28°', '29°', '29°', '28°', '28°', '31°', '31°']"
Madurai,"['36°', '36°', '36°', '36°', '36°', '35°', '35°', '35°', '35°', '36°', '36°', '36°', '36°']"
Malpe,"['33°', '32°', '32°', '32°', '32°', '31°', '31°', '31°', '31°', '31°', '31°', '33°', '32°']"
Manapad,"['31°', '32°', '32°', '31°', '31°', '32°', '32°', '32°', '32°', '33°', '33°', '31°', '32°']"
Mandvi,"['34°', '32°', '32°', '29°', '29°', '29°', '29°', '29°', '29°', '29°', '29°', '34°', '32°']"
Mangalore,"['33°', '33°', '33°', '33°', '33°', '33°', '33°', '33°', '33°', '32°', '32°', '33°', '33°']"
Mangalore/Panambur,"['36°', '36°', '36°', '35°', '35°', '35°', '35°', '35°', '35°', '35°', '35°', '36°', '36°']"
Meerut,"['32°', '33°', '33°', '32°', '32°', '28°', '28°', '27°', '27°', '28°', '28°', '32°', '33°']"
Minicoy,"['30°', '30°', '30°', '30°', '30°', '31°', '31°', '30°', '30°', '30°', '30°', '30°', '30°']"
Mormugao,"['32°', '31°', '31°', '32°', '32°', '31°', '31°', '31°', '31°', '31°', '31°', '32°', '31°']"
Mumbai,"['37°', '36°', '36°', '34°', '34°', '33°', '33°', '33°', '33°', '32°', '32°', '37°', '36°']"
Mundra,"['36°', '32°', '32°', '31°', '31°', '31°', '31°', '30°', '30°', '30°', '30°', '36°', '32°']"
Mysore,"['32°', '33°', '33°', '32°', '32°', '32°', '32°', '33°', '33°', '32°', '32°', '32°', '33°']"
Nagapattinam,"['31°', '31°', '31°', '31°', '31°', '31°', '31°', '31°', '31°', '32°', '32°', '31°', '31°']"
Nagpur,"['35°', '34°', '34°', '31°', '31°', '30°', '30°', '29°', '29°', '29°', '29°', '35°', '34°']"
Nasik,"['34°', '33°', '33°', '31°', '31°', '30°', '30°', '30°', '30°', '30°', '30°', '34°', '33°']"
Nazira,"['30°', '25°', '25°', '22°', '22°', '25°', '25°', '24°', '24°', '24°', '24°', '30°', '25°']"
Nellore,"['34°', '35°', '35°', '34°', '34°', '33°', '33°', '34°', '34°', '34°', '34°', '34°', '35°']"
New,"['34°', '33°', '33°', '32°', '32°', '29°', '29°', '28°', '28°', '29°', '29°', '34°', '33°']"
Okha,"['30°', '30°', '30°', '29°', '29°', '29°', '29°', '29°', '29°', '29°', '29°', '30°', '30°']"
Ongole,"['33°', '32°', '32°', '33°', '33°', '31°', '31°', '31°', '31°', '32°', '32°', '33°', '32°']"
Paradip,"['31°', '30°', '30°', '30°', '30°', '30°', '30°', '27°', '27°', '27°', '27°', '31°', '30°']"
Parbhani,"['35°', '35°', '35°', '32°', '32°', '31°', '31°', '30°', '30°', '31°', '31°', '35°', '35°']"
Patiala,"['31°', '31°', '31°', '31°', '31°', '28°', '28°', '26°', '26°', '27°', '27°', '31°', '31°']"
Patna,"['34°', '35°', '35°', '34°', '34°', '30°', '30°', '30°', '30°', '28°', '28°', '34°', '35°']"
Pbo,"['37°', '36°', '36°', '32°', '32°', '30°', '30°', '30°', '30°', '30°', '30°', '37°', '36°']"
Pendra,"['35°', '34°', '34°', '31°', '31°', '29°', '29°', '28°', '28°', '27°', '27°', '35°', '34°']"
Periyathalai,"['32°', '33°', '33°', '32°', '32°', '32°', '32°', '32°', '32°', '33°', '33°', '32°', '33°']"
Pondicherry,"['31°', '31°', '31°', '31°', '31°', '31°', '31°', '30°', '30°', '31°', '31°', '31°', '31°']"
Porbandar,"['35°', '33°', '33°', '30°', '30°', '30°', '30°', '30°', '30°', '30°', '30°', '35°', '33°']"
Port,"['30°', '30°', '30°', '30°', '30°', '30°', '30°', '31°', '31°', '31°', '31°', '30°', '30°']"
Pune,"['35°', '34°', '34°', '33°', '33°', '31°', '31°', '31°', '31°', '30°', '30°', '35°', '34°']"
